DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	ASV Groups
COLOR	#ff0000

LEGEND_TITLE	ASV Group
LEGEND_SHAPES	1	1	1	1	1	1
LEGEND_COLORS	#947fff	#ffd17f	#e7b9d8
LEGEND_LABELS	AD_skin_only	AD_nose_only	AD_shared

DATA
g__Staphylococcus_ASV-2	#e7b9d8	AD_shared
g__Acetobacter_ASV-2	#e7b9d8	AD_shared
g__Capnocytophaga_820688_ASV-6	#e7b9d8	AD_shared
g___ASV-66	#e7b9d8	AD_shared
g__Finegoldia_ASV-2	#e7b9d8	AD_shared
g__Faecalibacterium_ASV-3	#e7b9d8	AD_shared
g__Stomatobaculum_ASV-1	#e7b9d8	AD_shared
g__Streptococcus_ASV-4	#e7b9d8	AD_shared
g__Gallicola_ASV-1	#e7b9d8	AD_shared
g__UMGS1994_ASV-2	#e7b9d8	AD_shared
g___ASV-64	#e7b9d8	AD_shared
g__Blautia_A_141781_ASV-1	#e7b9d8	AD_shared
g___ASV-29	#e7b9d8	AD_shared
g__Brachybacterium_ASV-2	#e7b9d8	AD_shared
g__Corynebacterium_ASV-18	#e7b9d8	AD_shared
g__Prevotella_ASV-12	#e7b9d8	AD_shared
g__Clostridium_T_ASV-2	#e7b9d8	AD_shared
g__Granulicatella_ASV-3	#e7b9d8	AD_shared
g__Prevotella_ASV-40	#e7b9d8	AD_shared
g__Massilia_ASV-2	#e7b9d8	AD_shared
g__Cloacibacterium_ASV-3	#e7b9d8	AD_shared
g__Streptococcus_ASV-2	#e7b9d8	AD_shared
g__Peptoniphilus_A_ASV-1	#e7b9d8	AD_shared
g__Leptotrichia_A_993758_ASV-9	#e7b9d8	AD_shared
g__Allosphingosinicella_ASV-1	#e7b9d8	AD_shared
g__Streptococcus_ASV-9	#e7b9d8	AD_shared
g__Prevotella_ASV-10	#e7b9d8	AD_shared
g__Ligilactobacillus_ASV-2	#e7b9d8	AD_shared
g__Collinsella_ASV-2	#e7b9d8	AD_shared
g__Alloprevotella_ASV-3	#e7b9d8	AD_shared
g__Prevotella_ASV-11	#e7b9d8	AD_shared
g__Neisseria_563205_ASV-4	#e7b9d8	AD_shared
g___ASV-147	#e7b9d8	AD_shared
g__Weissella_A_338544_ASV-2	#e7b9d8	AD_shared
g__Aggregatibacter_736122_ASV-1	#e7b9d8	AD_shared
g__Arthrobacter_D_ASV-1	#e7b9d8	AD_shared
g__Flaviaesturariibacter_ASV-1	#e7b9d8	AD_shared
g__Mesorhizobium_F_498388_ASV-3	#e7b9d8	AD_shared
g__Lachnoclostridium_A_130679_ASV-1	#e7b9d8	AD_shared
g__Prevotella_ASV-29	#e7b9d8	AD_shared
g__Haemophilus_D_734546_ASV-2	#e7b9d8	AD_shared
g___ASV-82	#e7b9d8	AD_shared
g__Exiguobacterium_A_ASV-4	#e7b9d8	AD_shared
g__Pauljensenia_ASV-1	#e7b9d8	AD_shared
g___ASV-135	#e7b9d8	AD_shared
g___ASV-78	#e7b9d8	AD_shared
g__Alloprevotella_ASV-2	#e7b9d8	AD_shared
g__Peptostreptococcus_ASV-4	#e7b9d8	AD_shared
g__Porphyromonas_A_859423_ASV-2	#e7b9d8	AD_shared
g__Campylobacter_A_ASV-4	#e7b9d8	AD_shared
g__Gemella_ASV-3	#e7b9d8	AD_shared
g___ASV-65	#e7b9d8	AD_shared
g___ASV-85	#e7b9d8	AD_shared
g__Leptotrichia_A_993758_ASV-16	#e7b9d8	AD_shared
g__Micrococcus_ASV-4	#e7b9d8	AD_shared
g__Bifidobacterium_388775_ASV-4	#e7b9d8	AD_shared
g___ASV-114	#e7b9d8	AD_shared
g__Parvimonas_ASV-2	#e7b9d8	AD_shared
g__Brevibacterium_ASV-3	#e7b9d8	AD_shared
g___ASV-103	#e7b9d8	AD_shared
g__Treponema_B_986142_ASV-1	#e7b9d8	AD_shared
g__Prevotella_ASV-30	#e7b9d8	AD_shared
g__Prevotella_ASV-23	#e7b9d8	AD_shared
g__Roseburia_ASV-1	#e7b9d8	AD_shared
g__Corynebacterium_ASV-9	#e7b9d8	AD_shared
g__Corynebacterium_ASV-16	#e7b9d8	AD_shared
g__Chryseobacterium_796614_ASV-1	#e7b9d8	AD_shared
g__Cloacibacterium_ASV-1	#e7b9d8	AD_shared
g__Sphingomicrobium_483265_ASV-1	#e7b9d8	AD_shared
g__Bosea_ASV-2	#e7b9d8	AD_shared
g__Phocaeicola_A_858004_ASV-1	#e7b9d8	AD_shared
g__Bacteroides_H_ASV-3	#e7b9d8	AD_shared
g__Acinetobacter_ASV-3	#e7b9d8	AD_shared
g__Solirubrobacter_ASV-2	#e7b9d8	AD_shared
g___ASV-155	#e7b9d8	AD_shared
g__Hylemonella_582308_ASV-2	#e7b9d8	AD_shared
g__Mycobacterium_ASV-1	#e7b9d8	AD_shared
g__Nocardioides_A_392796_ASV-1	#e7b9d8	AD_shared
