DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	ASV Groups
COLOR	#ff0000

LEGEND_TITLE	ASV Group
LEGEND_SHAPES	1	1	1	1	1	1
LEGEND_COLORS	#947fff	#ffd17f	#e7b9d8
LEGEND_LABELS	H_skin_only	H_nose_only	H_shared

DATA
g__Oligella_ASV-1	#e7b9d8	H_shared
g__Kerstersia_ASV-1	#e7b9d8	H_shared
g__Streptococcus_ASV-5	#e7b9d8	H_shared
g__Prevotella_ASV-2	#e7b9d8	H_shared
g___ASV-17	#e7b9d8	H_shared
g__SIO2C1_ASV-7	#e7b9d8	H_shared
g__Ligilactobacillus_ASV-3	#e7b9d8	H_shared
g__Limosilactobacillus_ASV-2	#e7b9d8	H_shared
g__Clostridioides_A_ASV-1	#e7b9d8	H_shared
g__Capnocytophaga_820688_ASV-2	#e7b9d8	H_shared
g__Streptococcus_ASV-3	#e7b9d8	H_shared
g__Anaerostipes_ASV-1	#e7b9d8	H_shared
g__Acinetobacter_ASV-6	#e7b9d8	H_shared
g__Citricoccus_384863_ASV-2	#e7b9d8	H_shared
g___ASV-49	#e7b9d8	H_shared
g__Dietzia_ASV-2	#e7b9d8	H_shared
g__Abiotrophia_ASV-2	#e7b9d8	H_shared
g__Prevotella_ASV-24	#e7b9d8	H_shared
g__Weissella_A_338544_ASV-1	#e7b9d8	H_shared
g__Copromonas_ASV-2	#e7b9d8	H_shared
g___ASV-109	#e7b9d8	H_shared
g___ASV-111	#e7b9d8	H_shared
g__Rothia_ASV-5	#e7b9d8	H_shared
g___ASV-99	#e7b9d8	H_shared
g__Haemophilus_A_ASV-2	#e7b9d8	H_shared
g__Mucilaginibacter_A_ASV-3	#e7b9d8	H_shared
g__Campylobacter_A_ASV-3	#e7b9d8	H_shared
g__Fusobacterium_C_ASV-2	#e7b9d8	H_shared
g__Dorea_A_ASV-1	#e7b9d8	H_shared
g__Pseudomonas_E_647464_ASV-3	#e7b9d8	H_shared
g___ASV-8	#e7b9d8	H_shared
g__Roseburia_ASV-3	#e7b9d8	H_shared
g__Peptoanaerobacter_ASV-1	#e7b9d8	H_shared
g__Nocardioides_A_392796_ASV-3	#e7b9d8	H_shared
g__Pseudomonas_E_647464_ASV-5	#e7b9d8	H_shared
g__Prevotella_ASV-13	#e7b9d8	H_shared
g__Deinococcus_B_ASV-1	#e7b9d8	H_shared
g__Brevibacterium_ASV-2	#e7b9d8	H_shared
g__Sphingomonas_L_486704_ASV-5	#e7b9d8	H_shared
g__Cutibacterium_ASV-2	#e7b9d8	H_shared
g__Planococcus_ASV-1	#e7b9d8	H_shared
g__Anaerococcus_ASV-7	#e7b9d8	H_shared
g__Micrococcus_ASV-1	#e7b9d8	H_shared
g__Catonella_ASV-1	#e7b9d8	H_shared
g___ASV-138	#e7b9d8	H_shared
g__Anaerococcus_ASV-4	#e7b9d8	H_shared
g__Staphylococcus_ASV-9	#e7b9d8	H_shared
g__Alloprevotella_ASV-6	#e7b9d8	H_shared
g__Brevundimonas_ASV-4	#e7b9d8	H_shared
g__Parvimonas_ASV-1	#e7b9d8	H_shared
g__Streptococcus_ASV-1	#e7b9d8	H_shared
g__Brevundimonas_ASV-2	#e7b9d8	H_shared
g___ASV-153	#e7b9d8	H_shared
g__Streptococcus_ASV-7	#e7b9d8	H_shared
g___ASV-20	#e7b9d8	H_shared
