Genus,fold_0,fold_1,fold_2,mean_importance,std_importance
 g__Sarcina_200052,0.00016849224235955458,0.0007302128474174999,0.00046666111652960004,0.00045512206876897025,0.00024148738019439664
 g__Psychrobacter,0.0007725324107255926,0.000446802733442,5.1600607861173947e-05,0.00042364525067615556,0.0003429306861474541
 g__Solirubrobacter,0.000255541687933611,0.0003342851563214,0.0005209716126653842,0.00037026615230673933,0.0003554238230507803
 g__Parabacteroides_B_862066,0.0002483855586822,0.0006926886144284,0.0001947852494968,0.0003786198075358,0.0003154448485464
 g__Schaedlerella,0.0003860559253764,0.0006370232432433,0.0001798234524402,0.0004009675403533,0.0001869486192754
 g__Anaerobutyricum,0.0004725073378406543,0.00018705089216131614,0.0004993221128168,0.0003862934476062,0.0001877190087322937
 g__Sutterella,0.0005788838143521,0.0005129612149755,0.0,0.0003639483431092,0.0002587537369985
 g__Berryella,0.0006494244241283,0.0004323262505101,0.0,0.0003605835582128,0.0002699361419387
 g__Deinococcus_B,0.0003927964652239,0.0003885380771147496,0.0003157953276349313,0.00036570995665787177,0.000246241049949222
 g__Bacillus_J_295379,0.0002923015809519,6.254308450319582e-05,0.0007142138230238073,0.0003563528294929665,0.0002776634856550941
 g__Faecalibacillus,0.0,0.0007298677603437,0.00031774945321260003,0.00034920573785200004,0.0003053513394950155
 g__Catonella,0.0005218097158171694,0.0005251805475543022,6.483553183935654e-05,0.00037060859840352386,0.00021634374986461823
 g__Nonomuraea_394555,0.0001743875478414,0.00030220146086843813,0.0006224409564534,0.0003663433217211127,0.00021318244692627062
 g__HOT-345,0.0003529399114238,0.0005813545721632,0.0001375729820141,0.0003572891552003,0.0001811991756418
 g__F0058,0.0002704085066175,0.00025349188046980004,0.0005280993597748,0.0003506665822874,0.0001277413370252604
 g__Peptoanaerobacter_235883,0.0002143241604736104,0.0001864158760773,0.0005907333124357,0.00033049111632884654,0.00019010985457369747
 g__Devosia_A_501803,0.0003301846329091,0.0,0.0005846453899215,0.0003049433409435,0.0002393468892691
 g__Klebsiella_724518,0.0005533472131356,0.0,0.000355902685757,0.0003030832996308,0.0002289697217745
 g__Gemmiger_A_73129,5.3464991709697335e-05,0.0003065034241118735,0.0004981352817287666,0.000286034565850051,0.00021633232888987395
 g__Lichenihabitans_504419,7.795626082864497e-05,0.0006312170394903,0.00010872713212062293,0.0002726334774798094,0.0002543161048657
 g__Dysgonomonas,0.0004383014075125,0.0001078444757979,0.0003350042824306,0.0002937167219137,0.0001380312595504
